티커,종목,ISIN,시장
339770,교촌에프앤비,KR7339770000,STK
053270,구영테크,KR7053270005,KSQ
007690,국도화학,KR7007690001,STK
066620,국보디자인,KR7066620006,KSQ
043650,국순당,KR7043650001,KSQ
006050,국영지앤엠,KR7006050009,KSQ
060480,국일신동,KR7060480001,KSQ
078130,국일제지,KR7078130002,KSQ
307750,국전,KR7307750000,KSQ
002720,국제약품,KR7002720001,STK
035080,그래디언트,KR7035080001,KSQ
318060,그래피,KR7318060001,KSQ
453450,그리드위즈,KR7453450009,KSQ
204020,그리티,KR7204020002,KSQ
0015G0,그린광학,KR70015G0009,KSQ
402490,그린리소스,KR7402490007,KSQ
114450,그린생명과학,KR7114450000,KSQ
083420,그린케미칼,KR7083420000,STK
186230,그린플러스,KR7186230009,KSQ
014530,극동유화,KR7014530000,STK
900070,글로벌에스엠,KYG3931T1076,KSQ
204620,글로벌텍스프리,KR7204620009,KSQ
019660,글로본,KR7019660000,KSQ
014280,금강공업,KR7014280002,STK
014285,금강공업우,KR7014281000,STK
053260,금강철강,KR7053260006,KSQ
008870,금비,KR7008870008,STK
001570,금양,KR7001570001,STK
282720,금양그린파워,KR7282720002,KSQ
002990,금호건설,KR7002990000,STK
002995,금호건설우,KR7002991008,STK
011780,금호석유화학,KR7011780004,STK
011785,금호석유화학우,KR7011781002,STK
214330,금호에이치티,KR7214330003,STK
001210,금호전기,KR7001210004,STK
073240,금호타이어,KR7073240004,STK
036190,금화피에스시,KR7036190007,KSQ
049080,기가레인,KR7049080005,KSQ
420770,기가비스,KR7420770000,KSQ
282620,기도산업,KR7282620004,KSQ
035460,기산텔레콤,KR7035460005,KSQ
092440,기신정기,KR7092440007,STK
000270,기아,KR7000270009,STK
024110,기업은행,KR7024110009,STK
013700,까뮤이앤씨,KR7013700000,STK
004540,깨끗한나라,KR7004540001,STK
004545,깨끗한나라우,KR7004541009,STK
407400,꿈비,KR7407400001,KSQ
187790,나노,KR7187790001,KSQ
238540,나노솔루션,KR7238540009,KNX
121600,나노신소재,KR7121600001,KSQ
286750,나노실리칸첨단소재,KR7286750005,KSQ
247660,나노씨엠에스,KR7247660004,KSQ
039860,나노엔텍,KR7039860002,KSQ
417010,나노팀,KR7417010006,KSQ
244880,나눔테크,KR7244880001,KNX
405920,나라셀라,KR7405920000,KSQ
478340,나라스페이스테크놀로지,KR7478340003,KSQ
051490,나라엠앤디,KR7051490001,KSQ
137080,나래나노텍,KR7137080008,KSQ
242040,나무AX,KR7242040004,KSQ
190510,나무가,KR7190510008,KSQ
293580,나우IB,KR7293580007,KSQ
459510,나우로보틱스,KR7459510004,KSQ
138610,나이벡,KR7138610001,KSQ
130580,나이스디앤비,KR7130580004,KSQ
036800,나이스정보통신,KR7036800001,KSQ
366030,나인앤컴퍼니,KR7366030005,KSQ
